brand,title,type,price,available,sold,revenue,country,size_ml,price_category
Carolina Herrera,Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,43.99,2,393,17288.07,United States,80.0,Midrange
Unknown,Parfums de Marly Delina La Rosee Eau de Parfum 2.5 Fl Oz/75ml Spray for Women,Eau de Parfum,79.99,5,40,3199.6,Hong Kong,74.0,Midrange
Prada,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,Eau de Parfum,59.99,10,35,2099.65,United States,90.0,Midrange
Unknown,J'adore Parfum D'eau by Christian 3.4 oz EDP Fragrance for Women New In Box,Eau de Parfum,59.99,10,9,539.91,Hong Kong,101.0,Midrange
Khadlaj,"Shiyaaka for Men EDP Spray 100ML (3.4 FL.OZ) By Khadlaj (Woody, Aromatic, Earth)",Eau de Parfum,29.99,10,0,0.0,United States,101.0,Budget
Viktor & Rolf,Flowerbomb by Viktor & Rolf 3.4 oz 100ML Eau De Parfum Brand New Sealed In Box,Eau de Parfum,51.99,8,184,9566.16,United States,100.0,Midrange
Unknown,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box US,Eau de Parfum,58.99,0,18,1061.82,United States,90.0,Midrange
Versace,Versace Bright Crystal Women EDT 6.7 oz 200 ml New Sealed in Box,Eau de Toilette,52.79,6,258,13619.82,United States,200.0,Midrange
Versace,Versace Bright Crystal by Versace for Women EDT Spray 3.0 oz / 90 ml New In Box,Eau de Toilette,29.99,1,251,7527.49,United States,90.0,Budget
Lattafa,Fakhar by Lattafa Eau de Parfum 3.4 oz / 100 ml Spray for Men,Eau de Parfum,22.75,10,174,3958.5,United States,100.0,Budget
Yves Saint Laurent,Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed,Eau de Parfum,39.99,10,77,3079.23,United States,89.0,Midrange
Gucci,Gucci Bloom 3.3oz / 3.4oz Eau de Parfum Women's Fragrance New Sealed,Eau de Parfum,64.99,10,35,2274.6499999999996,United States,98.0,Midrange
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz Eau de parfum Spray New & Sealed,Eau de Parfum,60.99,2,51,3110.4900000000002,United States,80.0,Midrange
Carolina Herrera,Good Girl by Carolina Herrera 2.7 fl oz Spray Eau De Parfum New & Sealed,Eau de Parfum,43.49,2,20,869.8000000000001,United States,80.0,Midrange
Coach,Coach Floral 3.0 oz EDP eau de parfum spray womens perfume 90ml Tester,Eau de Parfum,29.2,10,505,14746.0,United States,90.0,Budget
Guerlain,Guerlain NEROLI OUTRENOIR Eau de Parfum 2ml /.06oz Sample Spray NIB,Eau de Parfum,13.0,10,94,1222.0,United States,2.0,Budget
Philosophy,"Amazing Grace by Philosophy, 4 oz EDP Intense Spray for Women",Eau de Parfum,39.69,10,234,9287.46,United States,118.0,Midrange
Marc Jacobs,Marc Jacobs Decadence For Women by Marc Jacobs 3.4 oz 100ml EDP Spray New,Eau de Parfum,59.99,6,34,2039.66,Hong Kong,100.0,Midrange
Unknown,PRADA Paradoxe By Prada EDP 3.0oz/90ml Spray Perfume For Women New In Box USA,Eau de Parfum,59.99,1,43,2579.57,United States,90.0,Midrange
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE WOMEN 1.5ml .05oz x 5 PERFUME SAMPLES,Eau de Parfum,11.0,10,1613,17743.0,United States,5.0,Budget
Qrc,Oxytocin-N 15iu Per Spray 1oz (30ml),Eau de Parfum,27.0,10,218,5886.0,United States,30.0,Budget
